0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0.0,-1.6964285714285712,1
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0,-1.071428571428572,1
1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.0,-1.4285714285714284,1
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,-1.7410714285714282,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,-1.1607142857142856,1
1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0.0,-1.4285714285714284,1
1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.0,-1.1160714285714284,1
1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0.0,-1.4285714285714284,1
1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0.0,-0.44642857142857295,1
1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0.0,-0.8035714285714279,1
1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0.0,-1.4285714285714288,1
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0.0,-0.4464285714285712,1
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0.0,-1.7410714285714288,1
