0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0.0,-1.6796875,1
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,-1.7578125,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0.0,-1.09375,1
1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0.0,-1.9921875,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,-1.7578125,1
0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0.0,-2.03125,1
1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0.0,-1.3671875,1
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,-1.7578125,1
1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0.0,-1.640625,1
0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0.0,-1.71875,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0.0,-1.6796875,1
1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0.0,-0.78125,1
1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0.0,-1.9921875,1
1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-2.03125,1
1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0.0,-1.9921875,1
0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0.0,-2.0703125,1
1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-1.6796875,1
1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0,-2.03125,1
0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0.0,-1.3671875,1
0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.0,-1.09375,1
1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0,-2.03125,1
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,-1.7578125,1
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0.05,-1.9921875,1
0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,-1.7578125,1
0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.0,-2.03125,1
1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0,-1.40625,1
1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0.0,-1.3671875,1
1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0.0,-1.6796875,1
0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0.0,-2.03125,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0.0,-1.71875,1
1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0.0,-1.40625,1
0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0.0,-1.71875,1
0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0,-1.09375,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0.0,-1.71875,1
1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,-1.71875,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,-1.7578125,1
0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0.0,-1.40625,1
0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0.0,-1.09375,1
1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0.0,-1.6796875,1
1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,-2.03125,1
1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0.0,-1.71875,1
0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0.0,-1.1328125,1
0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0.0,-1.71875,1
0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0.0,-1.4453125,1
0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0.0,-1.9921875,1
1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-1.6796875,1
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0.0,-1.640625,1
1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0.0,-1.6796875,1
0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0.0,-2.03125,1
0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0.0,-1.71875,1
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-1.953125,1
1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0.0,-1.6796875,1
1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0.0,-1.328125,1
1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.0,-1.3671875,1
0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0.0,-1.9921875,1
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-1.7578125,1
1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-1.71875,1
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-1.953125,1
1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0.0,-1.40625,1
1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0.0,-1.6796875,1
1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0.0,-2.03125,1
0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0.0,-1.40625,1
1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,-1.4453125,1
1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0.0,-1.9921875,1
0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.0,-1.40625,1
1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0,-1.71875,1
1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0.0,-1.953125,1
1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-1.328125,1
0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0.0,-1.6796875,1
0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0.0,-1.71875,1
1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0.0,-1.6796875,1
1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0.0,-1.6796875,1
1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0.0,-1.9921875,1
0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0.0,-1.71875,1
0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0.0,-1.7578125,1
0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0.0,-2.03125,1
0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0,-2.0703125,1
0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0.0,-1.6796875,1
0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0.0,-1.9921875,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,-2.0703125,1
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0.0,-2.03125,1
0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0.0,-2.0703125,1
0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0.0,-1.71875,1
0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.0,-2.03125,1
1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0.0,-1.71875,1
1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.0703125,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,-2.0703125,1
0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0.0,-1.71875,1
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,-2.0703125,1
0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0.0,-2.03125,1
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.0703125,1
1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0.0,-1.71875,1
1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0.0,-1.40625,1
0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,-2.0703125,1
1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0.0,-1.9921875,1
0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0.0,-1.4453125,1
1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0,-1.71875,1
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0.0,-1.3671875,1
0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0.0,-1.09375,1
0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0.0,-1.7578125,1
